Date,neu
2019-07-01,92
2019-07-02,102
2019-07-03,94
2019-07-04,51
2019-07-05,73
2019-07-06,57
2019-07-07,89
2019-07-08,124
2019-07-09,116
2019-07-10,112
2019-07-11,100
2019-07-12,129
2019-07-13,95
2019-07-14,108
2019-07-15,105
2019-07-16,123
2019-07-17,144
2019-07-18,129
2019-07-19,106
2019-07-20,67
2019-07-21,68
2019-07-22,103
2019-07-23,107
2019-07-24,144
2019-07-25,135
2019-07-26,83
2019-07-27,75
2019-07-28,70
2019-07-29,110
2019-07-30,112
2019-07-31,115
2019-08-01,98
2019-08-02,116
2019-08-03,117
2019-08-04,97
2019-08-05,85
2019-08-06,83
2019-08-07,104
2019-08-08,134
2019-08-09,117
2019-08-10,84
2019-08-11,82
2019-08-12,109
2019-08-13,104
2019-08-14,112
2019-08-15,115
2019-08-16,92
2019-08-17,73
2019-08-18,92
2019-08-19,113
2019-08-20,138
2019-08-21,142
2019-08-22,124
2019-08-23,128
2019-08-24,77
2019-08-25,82
2019-08-26,63
2019-08-27,81
2019-08-28,106
2019-08-29,108
2019-08-30,74
2019-08-31,67
2019-09-01,52
2019-09-02,75
2019-09-03,130
2019-09-04,111
2019-09-05,96
2019-09-06,103
2019-09-07,74
2019-09-08,66
2019-09-09,61
2019-09-10,95
2019-09-11,66
2019-09-12,75
2019-09-13,84
2019-09-14,59
2019-09-15,70
2019-09-16,76
2019-09-17,116
2019-09-18,95
2019-09-19,76
2019-09-20,127
2019-09-21,68
2019-09-22,48
2019-09-23,113
2019-09-24,95
2019-09-25,77
2019-09-26,66
2019-09-27,78
2019-09-28,50
2019-09-29,44
2019-09-30,67
2019-10-01,117
2019-10-02,86
2019-10-03,121
2019-10-04,111
2019-10-05,66
2019-10-06,78
2019-10-07,91
2019-10-08,119
2019-10-09,98
2019-10-10,78
2019-10-11,119
2019-10-12,69
2019-10-13,50
2019-10-14,62
2019-10-15,73
2019-10-16,95
2019-10-17,109
2019-10-18,103
2019-10-19,88
2019-10-20,102
2019-10-21,81
2019-10-22,68
2019-10-23,126
2019-10-24,92
2019-10-25,111
2019-10-26,115
2019-10-27,91
2019-10-28,81
2019-10-29,88
2019-10-30,108
2019-10-31,94
2019-11-01,87
2019-11-02,89
2019-11-03,95
2019-11-04,117
2019-11-05,95
2019-11-06,99
2019-11-07,122
2019-11-08,108
2019-11-09,140
2019-11-10,95
2019-11-11,99
2019-11-12,83
2019-11-13,124
2019-11-14,93
2019-11-15,114
2019-11-16,80
2019-11-17,54
2019-11-18,78
2019-11-19,87
2019-11-20,92
2019-11-21,94
2019-11-22,113
2019-11-23,108
2019-11-24,91
2019-11-25,114
2019-11-26,135
2019-11-27,77
2019-11-28,71
2019-11-29,70
2019-11-30,65
2019-12-01,63
2019-12-02,65
2019-12-03,96
2019-12-04,54
2019-12-05,101
2019-12-06,103
2019-12-07,92
2019-12-08,100
2019-12-09,125
2019-12-10,109
2019-12-11,140
2019-12-12,85
2019-12-13,117
2019-12-14,64
2019-12-15,72
2019-12-16,120
2019-12-17,92
2019-12-18,112
2019-12-19,150
2019-12-20,111
2019-12-21,107
2019-12-22,86
2019-12-23,117
2019-12-24,119
2019-12-25,56
2019-12-26,73
2019-12-27,94
2019-12-28,112
2019-12-29,96
2019-12-30,109
2019-12-31,85
2020-01-01,77
2020-01-02,63
2020-01-03,75
2020-01-04,76
2020-01-05,103
2020-01-06,64
2020-01-07,107
2020-01-08,97
2020-01-09,79
2020-01-10,65
2020-01-11,69
2020-01-12,35
2020-01-13,50
2020-01-14,86
2020-01-15,61
2020-01-16,96
2020-01-17,100
2020-01-18,74
2020-01-19,93
2020-01-20,107
2020-01-21,90
2020-01-22,89
2020-01-23,111
2020-01-24,75
2020-01-25,52
2020-01-26,56
2020-01-27,95
2020-01-28,83
2020-01-29,97
2020-01-30,111
2020-01-31,140
2020-02-01,73
2020-02-02,74
2020-02-03,79
2020-02-04,79
2020-02-05,86
2020-02-06,83
2020-02-07,77
2020-02-08,70
2020-02-09,100
2020-02-10,84
2020-02-11,76
2020-02-12,67
2020-02-13,112
2020-02-14,110
2020-02-15,84
2020-02-16,84
2020-02-17,108
2020-02-18,122
2020-02-19,138
2020-02-20,106
2020-02-21,121
2020-02-22,94
2020-02-23,100
2020-02-24,139
2020-02-25,115
2020-02-26,141
2020-02-27,137
2020-02-28,152
2020-02-29,89
2020-03-01,84
2020-03-02,86
2020-03-03,97
2020-03-04,120
2020-03-05,88
2020-03-06,141
2020-03-07,121
2020-03-08,103
2020-03-09,141
2020-03-10,142
2020-03-11,116
2020-03-12,123
2020-03-13,192
2020-03-14,118
2020-03-15,140
2020-03-16,159
2020-03-17,162
2020-03-18,218
2020-03-19,162
